coreid,aff_total,coresex,coreprefyr,Degree,Major,fy14,donor
1,11,F,2007,MS,Communications,100,1
2,24,M,1988,BBA,Accounting,25,1
3,26,F,2012,BA,English Language and Literature,8100,1
4,82,F,1972,BA,Political Science,2e3,1
5,2,F,2000,MED,General Education,20,1
6,6,F,2007,BS,Legal Studies,50,1
7,4,F,2005,MPA,Public Administration,25,1
8,31,M,2006,MPA,Public Administration,100,1
9,4,M,2005,BA,English Language and Literature,100,1
10,28,M,2014,MPA,Public Administration,510,1
11,17,M,1970,BPH,Environmental Studies,500,1
12,10,F,1967,BA,English Language and Literature,25,1
13,7,M,1975,BS,Physical Education,100,1
14,17,M,1973,BS,GRP SS Hist,250,1
15,4,M,1973,BS,Biology,20,1
16,19,F,1971,BS,Psychology,2e3,1
17,26,M,1974,BS,Geology,300,1
18,4,F,1973,BS,Biology,50,1
19,11,M,1970,BS,Physical Education,250,1
20,8,M,1977,BS,Mathematics,250,1
21,11,M,1970,BS,Chemistry,750,1
22,11,M,1969,BA,GRO Soc Science,200,1
23,8,F,1970,BS,Sociology,50,1
24,10,M,1973,BS,Chemistry,25,1
25,10,M,1972,BA,History,25,1
26,15,F,1975,BS,Physical Education,2e3,1
27,11,M,1971,BS,Physics,250,1
28,13,M,1975,BA,French,750,1
29,4,F,1971,BA,GRO Soc Science,25,1
30,5,M,1978,BS,Political Science,500,1
31,3,F,1968,BS,GRP SS Hist,100,1
32,20,M,1967,BA,History,100,1
33,2,M,1968,BA,Biology,600,1
34,4,M,1967,BS,Biology,1e3,1
35,19,F,1972,BA,Art,4500,1
36,11,F,1968,BA,English Language and Literature,100,1
37,19,M,1970,BS,Geology,1e3,1
38,60,F,1967,BA,GRO Soc Science,21e3,1
39,8,M,1969,BA,Economics,100,1
40,3,M,1968,BA,English Language and Literature,30,1
41,6,M,1968,BA,GRO Soc Science,360,1
42,4,M,1970,BS,Sociology,100,1
43,13,F,1973,BA,Art,2775.96,1
44,5,F,1972,BA,English Language and Literature,55,1
45,8,M,1967,BA,GRO Soc Science,30,1
46,6,M,1972,BS,Health Science,100,1
47,6,M,1974,BA,English Language and Literature,100,1
48,59,M,1978,BBA,Business General,500,1
49,2,M,1976,BS,Political Science,25,1
50,16,M,1976,BS,Public Administration,100,1
51,7,F,1971,BS,Group SS Soc,50,1
52,9,M,1971,BS,Group SS Soc,50,1
53,5,F,1973,BS,Biology,20,1
54,14,M,1977,BS,GRP SS Hist,350,1
55,12,M,1967,BS,GRO Soc Science,50,1
56,9,M,1970,BS,Anthropology,200,1
57,10,F,1974,MED,General Education,25,1
58,13,M,1971,BBA,Business General,500,1
59,16,F,1971,BS,Anthropology,400,1
60,8,M,1976,BPH,Environmental Studies,100,1
61,15,F,1967,BA,History,100,1
62,6,F,1982,BS,Sociology,100,1
63,64,M,1969,BS,Group Social Studies,900,1
64,5,F,1975,BS,Political Science,100,1
65,15,F,1975,BS,Sociology,100,1
66,7,M,1975,MPA,Public Administration,500,1
67,4,M,1971,BS,Political Science,100,1
68,5,M,1974,BS,Physical Education,50,1
69,8,F,1969,BS,Group Science,25,1
70,85,M,1969,BS,GRO Soc Science,60,1
71,76,M,1968,BA,Mathematics,21e3,1
72,1,F,1970,BS,Group SS Soc,10,1
73,7,F,1994,BS,Therapeutic Recreation,15,1
74,3,M,1984,MBA,Finance,25,1
75,13,M,1968,BS,Chemistry,600,1
76,2,M,1969,BS,Group Science,50,1
77,8,M,1968,BA,Psychology,50,1
78,4,F,1972,BS,Group SS Soc,25,1
79,12,M,1974,hdltrs,NA,500,1
80,60,M,1973,BA,Psychology,600,1
81,9,F,1972,BA,History,60,1
82,8,F,1971,BA,Group SS Soc,50,1
